Extended_Flutes_19-Nov-20_6:42:29 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 22.7	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-9.570E-3
-95.000E-6	-9.520E-3
-90.000E-6	-9.330E-3
-85.000E-6	-9.000E-3
-80.000E-6	-8.530E-3
-75.000E-6	-8.060E-3
-70.000E-6	-7.780E-3
-65.000E-6	-7.260E-3
-60.000E-6	-6.740E-3
-55.000E-6	-6.210E-3
-50.000E-6	-5.690E-3
-45.000E-6	-5.210E-3
-40.000E-6	-4.730E-3
-35.000E-6	-4.250E-3
-30.000E-6	-3.770E-3
-25.000E-6	-3.290E-3
-20.000E-6	-2.810E-3
-15.000E-6	-2.520E-3
-10.000E-6	-1.990E-3
-5.000E-6	-1.450E-3
0.000E+0	-920.000E-6
5.000E-6	-380.000E-6
10.000E-6	90.000E-6
15.000E-6	580.000E-6
20.000E-6	1.070E-3
25.000E-6	1.370E-3
30.000E-6	1.910E-3
35.000E-6	2.450E-3
40.000E-6	2.990E-3
45.000E-6	3.530E-3
50.000E-6	4.020E-3
55.000E-6	4.520E-3
60.000E-6	4.820E-3
65.000E-6	5.360E-3
70.000E-6	5.710E-3
75.000E-6	6.310E-3
80.000E-6	6.910E-3
85.000E-6	7.460E-3
90.000E-6	8.010E-3
95.000E-6	8.510E-3
100.000E-6	9.010E-3
