Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 22.0	Humidity(%)= 13.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.510E-3
-95.000E-6	-12.450E-3
-90.000E-6	-12.200E-3
-85.000E-6	-11.780E-3
-80.000E-6	-11.170E-3
-75.000E-6	-10.560E-3
-70.000E-6	-9.940E-3
-65.000E-6	-9.330E-3
-60.000E-6	-8.710E-3
-55.000E-6	-8.090E-3
-50.000E-6	-7.470E-3
-45.000E-6	-6.840E-3
-40.000E-6	-6.220E-3
-35.000E-6	-5.590E-3
-30.000E-6	-4.960E-3
-25.000E-6	-4.330E-3
-20.000E-6	-3.700E-3
-15.000E-6	-3.320E-3
-10.000E-6	-2.620E-3
-5.000E-6	-1.920E-3
0.000E+0	-1.220E-3
5.000E-6	-510.000E-6
10.000E-6	120.000E-6
15.000E-6	770.000E-6
20.000E-6	1.410E-3
25.000E-6	2.060E-3
30.000E-6	2.710E-3
35.000E-6	3.360E-3
40.000E-6	4.020E-3
45.000E-6	4.670E-3
50.000E-6	5.330E-3
55.000E-6	5.990E-3
60.000E-6	6.650E-3
65.000E-6	7.310E-3
70.000E-6	7.970E-3
75.000E-6	8.630E-3
80.000E-6	9.290E-3
85.000E-6	9.960E-3
90.000E-6	10.620E-3
95.000E-6	11.290E-3
100.000E-6	11.960E-3
