Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC3_DiodeHalf_CV	
Temperature(C)= 22.7	Humidity(%)= 7.9	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 100.000E+3	Settling_time(s) = 0.5	
		
Voltage (V)	Capacitance (F)
0.000E+0	113.680E-12
-5.000E+0	23.490E-12
-10.000E+0	17.345E-12
-15.000E+0	14.777E-12
-20.000E+0	13.033E-12
-25.000E+0	11.830E-12
-30.000E+0	10.939E-12
-35.000E+0	10.213E-12
-40.000E+0	9.651E-12
-45.000E+0	9.149E-12
-50.000E+0	8.715E-12
-55.000E+0	8.289E-12
-60.000E+0	7.839E-12
-65.000E+0	7.438E-12
-70.000E+0	7.033E-12
-75.000E+0	6.645E-12
-80.000E+0	6.392E-12
-85.000E+0	6.472E-12
-90.000E+0	6.472E-12
-95.000E+0	6.344E-12
-100.000E+0	6.227E-12
-105.000E+0	6.114E-12
-110.000E+0	6.012E-12
-115.000E+0	5.924E-12
-120.000E+0	5.851E-12
-125.000E+0	5.706E-12
-130.000E+0	5.594E-12
-135.000E+0	5.510E-12
-140.000E+0	5.446E-12
-145.000E+0	5.380E-12
-150.000E+0	5.354E-12
-155.000E+0	5.288E-12
-160.000E+0	5.248E-12
-165.000E+0	5.191E-12
-170.000E+0	5.166E-12
-175.000E+0	5.121E-12
-180.000E+0	5.094E-12
-185.000E+0	5.045E-12
-190.000E+0	5.006E-12
-195.000E+0	4.944E-12
-200.000E+0	4.939E-12
-205.000E+0	4.905E-12
-210.000E+0	4.878E-12
-215.000E+0	4.854E-12
-220.000E+0	4.797E-12
-225.000E+0	4.800E-12
-230.000E+0	4.777E-12
-235.000E+0	4.778E-12
-240.000E+0	4.752E-12
-245.000E+0	4.738E-12
-250.000E+0	4.773E-12
-255.000E+0	4.767E-12
-260.000E+0	4.744E-12
-265.000E+0	4.761E-12
-270.000E+0	4.765E-12
-275.000E+0	4.796E-12
-280.000E+0	4.770E-12
-285.000E+0	4.750E-12
-290.000E+0	4.765E-12
-295.000E+0	4.762E-12
-300.000E+0	4.790E-12
-305.000E+0	4.759E-12
-310.000E+0	4.767E-12
-315.000E+0	4.754E-12
-320.000E+0	4.762E-12
-325.000E+0	4.772E-12
-330.000E+0	4.749E-12
-335.000E+0	4.761E-12
-340.000E+0	4.748E-12
-345.000E+0	4.787E-12
-350.000E+0	4.782E-12
-355.000E+0	4.745E-12
-360.000E+0	4.758E-12
-365.000E+0	4.772E-12
-370.000E+0	4.763E-12
-375.000E+0	4.770E-12
-380.000E+0	4.813E-12
-385.000E+0	4.778E-12
-390.000E+0	4.781E-12
-395.000E+0	4.783E-12
-400.000E+0	4.758E-12
-405.000E+0	4.790E-12
-410.000E+0	4.746E-12
-415.000E+0	4.768E-12
-420.000E+0	4.748E-12
-425.000E+0	4.771E-12
-430.000E+0	4.777E-12
-435.000E+0	4.783E-12
-440.000E+0	4.766E-12
-445.000E+0	4.770E-12
-450.000E+0	4.761E-12
-455.000E+0	4.759E-12
-460.000E+0	4.790E-12
-465.000E+0	4.760E-12
-470.000E+0	4.799E-12
-475.000E+0	4.787E-12
-480.000E+0	4.760E-12
-485.000E+0	4.741E-12
-490.000E+0	4.752E-12
-495.000E+0	4.768E-12
-500.000E+0	4.749E-12
