Extended_Flutes_23-Nov-20_1:22:11 PM	Right_PQC3_DiodeHalf_CV	
Temperature(C)= 21.1	Humidity(%)= 12.5	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 100.000E+3	Settling_time(s) = 0.5	
		
Voltage (V)	Capacitance (F)
0.000E+0	106.800E-12
-5.000E+0	22.860E-12
-10.000E+0	17.144E-12
-15.000E+0	14.610E-12
-20.000E+0	13.009E-12
-25.000E+0	11.839E-12
-30.000E+0	11.023E-12
-35.000E+0	10.298E-12
-40.000E+0	9.736E-12
-45.000E+0	9.245E-12
-50.000E+0	8.765E-12
-55.000E+0	8.330E-12
-60.000E+0	7.900E-12
-65.000E+0	7.478E-12
-70.000E+0	7.064E-12
-75.000E+0	6.662E-12
-80.000E+0	6.401E-12
-85.000E+0	6.372E-12
-90.000E+0	6.500E-12
-95.000E+0	6.378E-12
-100.000E+0	6.198E-12
-105.000E+0	6.102E-12
-110.000E+0	6.020E-12
-115.000E+0	5.898E-12
-120.000E+0	5.809E-12
-125.000E+0	5.716E-12
-130.000E+0	5.582E-12
-135.000E+0	5.549E-12
-140.000E+0	5.505E-12
-145.000E+0	5.447E-12
-150.000E+0	5.393E-12
-155.000E+0	5.313E-12
-160.000E+0	5.264E-12
-165.000E+0	5.249E-12
-170.000E+0	5.201E-12
-175.000E+0	5.158E-12
-180.000E+0	5.083E-12
-185.000E+0	5.091E-12
-190.000E+0	5.035E-12
-195.000E+0	4.974E-12
-200.000E+0	4.941E-12
-205.000E+0	4.919E-12
-210.000E+0	4.878E-12
-215.000E+0	4.848E-12
-220.000E+0	4.857E-12
-225.000E+0	4.763E-12
-230.000E+0	4.771E-12
-235.000E+0	4.766E-12
-240.000E+0	4.756E-12
-245.000E+0	4.717E-12
-250.000E+0	4.733E-12
-255.000E+0	4.738E-12
-260.000E+0	4.741E-12
-265.000E+0	4.751E-12
-270.000E+0	4.763E-12
-275.000E+0	4.749E-12
-280.000E+0	4.738E-12
-285.000E+0	4.739E-12
-290.000E+0	4.755E-12
-295.000E+0	4.734E-12
-300.000E+0	4.744E-12
-305.000E+0	4.744E-12
-310.000E+0	4.734E-12
-315.000E+0	4.738E-12
-320.000E+0	4.731E-12
-325.000E+0	4.740E-12
-330.000E+0	4.754E-12
-335.000E+0	4.749E-12
-340.000E+0	4.739E-12
-345.000E+0	4.751E-12
-350.000E+0	4.766E-12
-355.000E+0	4.754E-12
-360.000E+0	4.784E-12
-365.000E+0	4.766E-12
-370.000E+0	4.759E-12
-375.000E+0	4.786E-12
-380.000E+0	4.733E-12
-385.000E+0	4.769E-12
-390.000E+0	4.752E-12
-395.000E+0	4.732E-12
-400.000E+0	4.792E-12
-405.000E+0	4.744E-12
-410.000E+0	4.785E-12
-415.000E+0	4.749E-12
-420.000E+0	4.759E-12
-425.000E+0	4.767E-12
-430.000E+0	4.767E-12
-435.000E+0	4.780E-12
-440.000E+0	4.772E-12
-445.000E+0	4.756E-12
-450.000E+0	4.758E-12
-455.000E+0	4.762E-12
-460.000E+0	4.770E-12
-465.000E+0	4.775E-12
-470.000E+0	4.766E-12
-475.000E+0	4.755E-12
-480.000E+0	4.778E-12
-485.000E+0	4.776E-12
-490.000E+0	4.761E-12
-495.000E+0	4.755E-12
-500.000E+0	4.771E-12
